Total body mass (kg),65,,,,,,,,,,,,,,,,,,,,,,,
Stature (mm),1700,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"PER-SEGMENT BSIP — Dumas (2007/2015) female, instantiated for the values above",,,,,,,,,,,,,,,,,,,,,,,,
Segment,Count,Source / version,L (mm),"Mass
frac","Mass
target (kg)","CoM x
(%L,+ant)","CoM y
(%L,+up)","CoM z
(%L,+R)","CoM x
(mm)","CoM y
(mm)","CoM z
(mm)","rg x
(%L)","rg y
(%L)","rg z
(%L)","rg xy
(%L,±)","rg yz
(%L,±)","rg xz
(%L,±)","Ixx
(kg·m²)","Iyy
(kg·m²)","Izz
(kg·m²)","Ixy
(kg·m²,±)","Iyz
(kg·m²,±)","Ixz
(kg·m²,±)",Notes
Head & Neck,1,Dumas 2007 + corrig. 2007b ✓,253,6.7,4.355,1.6,57.5,0.1,4.048,145.475,0.253,29,23,30,-4,0,1,0.02344,0.01475,0.02509,-0.00045,0.00000,0.00003,CORRIGENDUM (2007b) values — NOT original 2007 Table 2. L=253 F. Origin=CJC. rxy=4(i)=negative.
Thorax,1,Dumas 2015 ✓,313,26.3,17.095,2.1,-52.8,0.1,6.573,-165.264,0.313,39,33,35,-12,1,-3,0.25473,0.18238,0.20516,-0.02412,0.00017,-0.00151,Dumas (2015). Replaces Dumas 2007 combined 'Torso' row. L=313mm (CJC to TJC). Origin=CJC. Cross-check: comY=-52.8%×313=-165.3mm; Table 1 COM Y=-165mm ✓. Mass 26.3%+Abdomen 4.1%=30.4% = 2007 Torso exactly ✓. rxy=12(i)=negative. rxz=3(i)=negative.
Abdomen,1,Dumas 2015 ✓,121,4.1,2.665,24.4,-41.5,0.5,29.524,-50.215,0.605,67,77,55,20,-5,-3,0.01752,0.02313,0.01180,0.00156,-0.00010,-0.00004,Dumas (2015). NEW segment — no 2007 equivalent. L=121mm (TJC to LJC). Origin=TJC. Segment covers trunk below 10th ribs to iliocristales (~L1–L4 level). NOT equivalent to de Leva 'middle trunk'. Cross-check: comY=-41.5%×121=-50.2mm; Table 1 COM Y=-50mm ✓. rxz=3(i)=negative. ryz=5(i)=negative.
Pelvis,1,Dumas 2007 ✓,107,14.6,9.490,-0.9,-23.2,0.2,-0.963,-24.824,0.214,91,100,79,-34,-1,-10,0.08997,0.10865,0.06781,-0.01256,-0.00001,-0.00109,ACTIVE WORKSTREAM. L=107 mm (LJC → projection of HJC in sagittal plane). Alternative: L=Pelvis Width (RASIS-LASIS). Origin=LJC. Segment mass covers entire pelvis segment (bone + soft tissue + hardware + battery + flesh + skin) — NOT the ~8 kg structural assembly alone. CoM y=−23.2% of L below LJC (posterior/inferior). CoM x=−0.9% (very small AP offset). rxy=34(i)=negative. rxz=10(i)=negative. ryz=1(i)=negative.
Upper Arm,2,Dumas 2007 ✓,243,2.2,1.430,-7.3,-45.4,-2.8,-17.739,-110.322,-6.804,33,17,33,3,-4,-5,0.00920,0.00244,0.00920,0.00008,-0.00014,-0.00021,"Dumas 2007, Arm segment. L=243 F. Origin=SJC. rxz=5(i)=negative. ryz=4(i)=negative."
Forearm,2,Dumas 2007 ✓,271,1.3,0.845,1.7,-45.2,-2.6,4.607,-122.492,-7.046,31,14,32,6,2,5,0.00596,0.00122,0.00635,0.00022,0.00002,0.00016,Dumas 2007. L=271 F. Origin=EJC.
Hand,2,Dumas 2007 ✓,283,1.3,0.845,1,-41.7,1.4,2.830,-118.011,3.962,28,11,27,3,-1,1,0.00531,0.00082,0.00493,0.00006,-0.00001,0.00001,Dumas 2007. L=283 F (WJC to midpoint MH2-MH5). Origin=WJC. ryz=1(i)=negative.
Thigh,2,Dumas 2007 ✓,432,12.3,7.995,-4.1,-42.9,3.3,-17.712,-185.328,14.256,29,15,30,7,-7,2,0.12548,0.03357,0.13429,0.00731,-0.00731,0.00060,Dumas 2007. L=432 F. Origin=HJC. ryz=7(i)=negative.
Leg (shank),2,Dumas 2007 ✓,388,4.5,2.925,-4.9,-40.4,3.1,-19.012,-156.752,12.028,28,10,28,2,-2,1,0.03452,0.00440,0.03452,0.00018,-0.00018,0.00004,Dumas 2007. L=388 F. Origin=KJC. ryz=2(i)=negative.
Foot,2,Dumas 2007 ✓,165,1,0.650,27,-21.8,3.9,44.550,-35.970,6.435,17,36,35,-6,-4,6,0.00051,0.00229,0.00217,-0.00006,-0.00003,0.00006,Dumas 2007. L=165 F (AJC to midpoint MH1-MHV). Origin=AJC. rxy=6(i)=negative. ryz=4(i)=negative.
,,,,,0.00,,,,,,,,,,,,,,,,,,,
Σ count-weighted mass fraction,,,,96.900,6298.50,CHECK SUM,,,,,,,,,,,,,,,,,,Reconstructed mass (col F) should ≈ total body mass once all fractions are entered. Transcription tripwire.
